task,bc,td3bc_n,iql,cql,aspl_c,scas_n,scaspl_pn,scc_n
walker2d_random_expert_1,1.16,152.20*,130.78,4.03,18.84(L),3.17(L),!118.80(L),36.91
walker2d_random_expert_3,1.39,154.15*,93.34,112.86,27.37(L),7.27(L),!47.94(L),49.72
walker2d_random_expert_5,2.03,102.64*,93.64,91.28,5.17(L),6.25(L),!52.67(L),47.42
walker2d_random_expert_7,2.80,17.49,96.22*,11.15,-0.53(L),3.44(L),!21.58(L),17.43
walker2d_random_expert_9,2.20,5.77,41.03*,6.91,-0.32(L),4.75(L),!-0.32(L),9.77
